City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.71,broken clouds,3.0707,172.7902,Isles Sunset Lodge
8,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Lorengau,PG,86.34,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
14,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
17,Kavieng,PG,84.51,light rain,-2.5744,150.7967,Nusa Island Retreat
22,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
24,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
38,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
39,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
42,Todos Santos,MX,82.11,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
49,Sao Filipe,CV,78.55,overcast clouds,14.8961,-24.4956,Hotel Xaguate
50,Faanui,PF,80.62,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Kutum,SD,75.33,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
66,Emerald,AU,84.34,broken clouds,-23.5333,148.1667,The Irish Village
67,Buchanan,LR,77.65,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
84,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Harper,LR,77.77,broken clouds,4.375,-7.7169,Screensaver
90,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
95,Lucap,PH,80.85,light rain,16.1833,120.0,Skye-Jace Transient
97,Pasni,PK,79.09,clear sky,25.2631,63.471,Kashmiri Hotal
98,Luganville,VU,81.64,broken clouds,-15.5333,167.1667,The Espiritu Hotel
99,Quang Ngai,VN,79.21,moderate rain,15.1167,108.8,Central Hotel
101,Sao Felix Do Xingu,BR,77.32,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
106,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
107,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
110,Brazzaville,CG,75.83,overcast clouds,-4.2658,15.2832,Hotel Muesse
116,Bengkulu,ID,78.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Bien Hoa,VN,84.18,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
120,Meulaboh,ID,78.71,light rain,4.1363,96.1285,Kost Pria
124,Salalah,OM,78.64,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
127,Kununurra,AU,93.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
133,Jaciara,BR,78.85,light rain,-15.9653,-54.9683,Taba Hotel
137,Teshie,GH,81.16,scattered clouds,5.5836,-0.1072,Adinkra Lodge
140,Mongagua,BR,80.92,overcast clouds,-24.0931,-46.6208,Hostel Aloha Brasil
141,Paka,MY,80.53,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
142,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
144,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
154,Muroto,JP,77.04,clear sky,33.2833,134.15,Oota Ryokan
157,Abilene,US,77.49,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
164,Yanam,IN,81.0,light rain,16.7333,82.2167,The Regency Hotel
166,Pundaguitan,PH,83.3,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
168,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
170,Port-Gentil,GA,78.82,overcast clouds,-0.7193,8.7815,Fengshui Residence
171,Cruz Alta,BR,75.18,light rain,-28.6386,-53.6064,Hotel Linassi
173,Sacramento,US,78.94,clear sky,38.4666,-121.3177,Woodside Homes
177,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
190,Mecca,SA,82.74,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
192,Hattiesburg,US,79.29,scattered clouds,31.3271,-89.2903,Deluxe Inn
194,Karratha,AU,81.16,clear sky,-20.7377,116.8463,ibis Styles Karratha
196,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
198,Anantapur,IN,77.83,overcast clouds,14.6833,77.6,Ashoka Lodge
202,Kloulklubed,PW,83.98,broken clouds,7.0419,134.2556,Storyboard Beach Resort
205,Hithadhoo,MV,83.35,overcast clouds,-0.6,73.0833,Scoop Guest House
207,Airai,TL,76.37,broken clouds,-8.9266,125.4092,Juvinal Martin
220,Naliya,IN,77.94,clear sky,23.2667,68.8333,jadeja jayendrasinh
221,Pandan,PH,81.95,scattered clouds,14.0453,124.1694,Bonifacio Lodge
226,Pemangkat,ID,82.89,light rain,1.1667,108.9667,Ramah Kost KITA
228,Naze,JP,79.72,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
230,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
231,Ponnani,IN,78.12,overcast clouds,10.767,75.9252,Rouba Residency
232,Panama City,PA,83.05,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
237,Hobyo,SO,77.67,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
238,Half Moon Bay,US,76.23,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
239,Namatanai,PG,85.55,light rain,-3.6667,152.4333,Seagulls Inn Namatani
241,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
242,Adrar,MR,82.44,few clouds,20.5022,-10.0711,
244,Sur,OM,79.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
247,Guiratinga,BR,75.16,moderate rain,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
252,Madiun,ID,85.05,overcast clouds,-7.6298,111.5239,ASTON Madiun Hotel & Conference Center
