City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1,Tuatapere,NZ,-46.1333,167.6833,54.12,60,39,8.97,scattered clouds
3,Butaritari,KI,3.0707,172.7902,82.71,71,84,15.77,broken clouds
5,Ugento,IT,39.9263,18.1574,56.7,65,100,26.66,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,50.29,90,100,4.41,overcast clouds
9,Podporozhye,RU,60.9112,34.1706,34.63,94,9,2.8,clear sky
11,Ust-Nera,RU,64.5667,143.2,19.26,70,100,5.28,overcast clouds
13,Severo-Kurilsk,RU,50.6789,156.125,46.74,97,100,7.99,light rain
15,Barrow,US,71.2906,-156.7887,25.03,84,100,20.15,overcast clouds
17,Hilo,US,19.7297,-155.09,78.8,82,75,0.0,light rain
19,Brigantine,US,39.4101,-74.3646,69.03,88,1,0.0,clear sky
21,Melfi,IT,40.9965,15.6514,48.49,64,94,13.96,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,74.84,72,48,4.41,scattered clouds
25,Cherskiy,RU,68.75,161.3,10.51,95,98,6.26,light snow
27,Lorengau,PG,-2.0226,147.2712,86.34,68,24,8.86,few clouds
29,Georgetown,MY,5.4112,100.3354,84.13,88,20,1.99,few clouds
31,Wittenheim,FR,47.8078,7.337,46.04,93,17,3.42,few clouds
33,Mataura,NZ,-46.1927,168.8643,58.17,45,15,6.06,few clouds
35,Kavieng,PG,-2.5744,150.7967,84.51,73,37,9.91,light rain
37,Albany,US,42.6001,-73.9662,63.91,90,68,3.51,broken clouds
39,Rio Gallegos,AR,-51.6226,-69.2181,41.05,56,40,5.75,scattered clouds
41,Klaksvik,FO,62.2266,-6.589,40.12,65,100,20.4,overcast clouds
43,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,18.41,clear sky
45,Port Macquarie,AU,-31.4333,152.9167,80.89,34,0,21.85,clear sky
47,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,95,100,20.74,overcast clouds
49,Banjar,ID,-8.19,114.9675,82.26,60,100,2.46,overcast clouds
51,Mikkeli,FI,61.6886,27.2723,42.15,93,75,8.05,broken clouds
